STATE,YEAR,MONTH,DAY,GLOBAL_COUNT,ENV_COUNT
TD,2017,9,16,254,8
TH,2015,4,1,1264,103
TH,2015,5,21,1768,42
TH,2015,7,26,3342,59
TH,2016,1,3,2528,12
TH,2016,5,23,1480,37
TH,2016,5,28,997,17
TH,2016,10,4,1233,64
TH,2017,4,7,714,5
TI,2015,3,9,72,
TI,2015,8,1,32,
TI,2017,5,25,70,
TN,2015,5,1,2,
TN,2016,6,11,10,
TN,2016,7,1,7,
TN,2016,7,20,2,1
TP,2017,8,21,3,3
TS,2015,12,22,35,
TS,2016,1,22,45,
TS,2017,3,2,5,
TS,2017,7,20,21,
TS,2017,11,18,10,
TU,2016,3,17,5139,40
TU,2016,4,12,3214,15
TU,2016,5,11,3553,44
TU,2016,5,17,2698,9
TU,2016,9,17,1713,
TU,2016,10,19,2575,54
TU,2017,4,24,2911,86
TW,2015,8,19,609,15
TW,2016,1,16,471,6
TW,2017,8,19,272,4
TX,2015,3,25,23,
TX,2016,5,29,2,
TX,2016,11,11,21,
TX,2017,4,18,89,
TZ,2015,6,12,324,6
TZ,2015,8,27,238,
TZ,2016,3,4,332,
TZ,2016,4,4,290,6
TZ,2016,6,30,608,12
TZ,2017,1,15,239,9
TZ,2017,4,20,196,
TZ,2017,5,14,218,14
TZ,2017,10,20,152,21
UG,2015,6,25,862,2
UG,2015,10,25,392,22
UG,2016,3,26,313,4
UG,2016,5,4,697,11
UG,2016,5,13,942,8
UG,2016,9,19,953,8
UG,2016,12,6,718,2
UG,2017,5,7,411,
UK,2015,8,15,15323,289
UK,2016,3,26,22142,162
UK,2016,4,16,22539,262
UK,2016,6,4,21845,893
UK,2016,10,17,45006,651
UK,2017,9,6,44198,6405
UP,2015,4,17,1045,17
UP,2015,5,24,221,
UP,2015,11,22,143,
UP,2016,7,23,301,
UP,2017,9,9,248,14
US,2015,12,18,413950,7124
US,2016,1,23,294368,13944
US,2016,5,27,471344,13525
US,2016,6,28,446089,13033
US,2016,10,1,263935,10398
US,2017,2,16,635074,14551
US,2017,6,1,415874,19155
UV,2015,8,22,40,
UV,2015,8,28,126,
UZ,2015,2,24,62,
VC,2016,10,24,28,
VC,2017,1,27,86,
VE,2015,12,3,826,12
VE,2017,5,15,167,2
VI,2015,8,28,16,9
VI,2015,9,28,36,
VI,2016,6,21,11,
VI,2017,11,20,9,
VM,2015,4,14,489,28
VM,2015,8,8,829,8
VM,2015,12,27,301,5
VM,2016,4,13,1100,103
VM,2016,7,3,497,5
VM,2016,11,21,1464,13
VM,2016,12,4,526,3
VM,2017,1,28,828,3
VM,2017,5,1,247,3
VQ,2016,6,6,10,
VQ,2016,10,10,38,
VQ,2016,11,17,37,
VQ,2017,9,3,3,
VT,2015,2,25,129,
VT,2016,4,2,68,
WA,2015,5,5,786,23
WA,2016,2,6,2,
WA,2016,3,7,159,10
WA,2016,6,25,1,1
WA,2017,4,13,235,6
WS,2015,8,7,216,7
WS,2015,9,16,146,
WS,2017,8,3,118,8
WZ,2015,3,1,113,
WZ,2015,9,2,33,
WZ,2015,9,17,70,
WZ,2015,9,28,80,4
WZ,2015,10,7,50,
WZ,2016,6,6,59,19
WZ,2016,12,21,38,
WZ,2017,8,9,27,
YM,2016,6,7,8,
YM,2016,9,3,30,
YM,2017,2,25,86,
YM,2017,10,16,57,
ZA,2017,8,23,297,9
ZA,2017,8,24,267,1
ZI,2015,3,27,963,8
ZI,2016,5,26,2020,37
ZI,2016,7,2,1306,16
ZI,2017,11,21,2096,9
,2015,6,16,1189,
,2016,5,8,589,
,2016,7,22,2116,
,2017,1,12,1911,
,2017,2,24,1683,
,2017,9,9,883,
AA,2017,3,1,4,
AE,2015,8,13,2464,123
AE,2017,3,27,2822,105
AE,2017,3,28,3093,183
AE,2017,7,16,1981,69
AE,2017,8,13,1992,44
AF,2015,6,4,395,1
AF,2016,7,4,1176,13
AF,2016,8,25,1790,44
AF,2016,11,1,803,33
AF,2017,1,18,979,15
AF,2017,2,7,1229,18
AF,2017,9,12,607,4
AF,2017,11,14,403,3
AG,2016,1,16,47,
AG,2016,10,23,42,2
AJ,2016,6,17,2352,29
AJ,2017,2,27,1268,29
AJ,2017,9,10,401,1
AL,2016,5,28,23,
AL,2016,6,19,60,
AM,2015,7,17,1633,9
AM,2016,1,6,435,9
AM,2016,1,19,1616,31
AM,2016,8,13,600,22
AM,2016,12,13,1607,28
AM,2017,10,17,1412,3
AO,2015,10,10,71,
AO,2016,4,27,131,1
AO,2016,7,26,269,
AO,2016,10,20,206,
AO,2016,11,2,69,
AO,2016,11,30,111,12
AO,2017,1,18,80,10
AO,2017,2,3,148,8
AO,2017,6,6,182,
AR,2016,6,16,434,
AS,2015,3,8,27207,379
AS,2016,1,17,40339,416
AS,2016,8,1,27202,780
AS,2016,10,7,37656,1733
AS,2017,5,12,30914,660
AU,2015,6,17,90,1
AU,2016,2,15,110,
AU,2017,2,9,16,
AU,2017,4,6,11,
AU,2017,7,17,12,1
AU,2017,11,17,22,
AV,2015,7,13,44,10
AV,2017,9,22,7,2
AV,2017,10,5,2,
BA,2015,5,5,493,1
BA,2015,6,22,192,
BA,2016,3,7,173,
BA,2016,5,3,88,
BA,2017,7,24,95,2
BA,2017,10,13,78,
BB,2016,1,9,142,
BB,2016,6,13,80,
BB,2016,8,2,93,2
BB,2017,6,26,87,2
BB,2017,9,7,188,61
BC,2015,6,4,133,9
BC,2016,4,27,92,
BC,2017,5,7,62,
BD,2015,2,21,49,
BD,2015,12,7,73,1
BD,2017,2,26,41,
BD,2017,8,15,50,
BD,2017,10,23,82,4
BE,2015,8,1,10,
BE,2015,9,9,55,
BE,2015,12,10,55,
BE,2016,2,16,114,
BE,2016,12,9,140,3
BE,2017,1,6,27,
BE,2017,9,14,53,4
BE,2017,10,17,185,4
BF,2015,2,28,123,
BF,2015,4,29,254,9
BF,2015,9,1,259,
BF,2015,9,20,13,
BF,2016,9,22,216,
BF,2017,10,15,6,
BF,2017,10,26,63,
BG,2015,8,5,2023,83
BG,2016,11,29,3872,70
BG,2016,12,30,2059,1
BG,2017,1,20,2676,162
BH,2015,4,25,148,3
BH,2015,12,25,50,
BH,2016,11,28,11,
BK,2015,11,19,40,
BK,2017,2,15,23,
BK,2017,2,21,51,15
BK,2017,6,6,29,
BK,2017,10,22,5,
BL,2015,7,4,14,
BM,2015,10,5,364,6
BM,2016,3,9,460,11
BM,2017,2,24,240,
BM,2017,9,25,164,
BN,2015,10,16,10,
BO,2016,3,5,127,
BO,2016,4,7,450,3
BO,2017,1,31,202,8
BO,2017,7,19,362,12
BP,2016,5,12,3,
BR,2017,5,18,169,24
BT,2015,8,17,37,
BT,2016,2,15,28,
BT,2016,3,2,66,
BT,2017,2,8,13,
BT,2017,5,4,49,
BU,2015,8,13,497,1
BU,2016,4,7,1342,28
BU,2016,12,16,499,
BU,2017,1,29,323,
BU,2017,2,5,161,
BU,2017,4,3,235,
BX,2015,3,18,465,21
BX,2016,8,24,249,4
BX,2017,6,14,122,1
BX,2017,10,10,211,
CA,2015,5,29,20809,1035
CA,2015,8,20,20723,698
CA,2016,9,7,19165,712
CA,2017,6,30,12977,264
CB,2015,5,19,343,4
CB,2015,11,3,318,
CB,2016,2,26,197,
CB,2016,6,4,282,
CB,2017,6,6,274,36
CD,2016,7,5,1,
CE,2015,3,28,2105,13
CE,2015,10,23,1146,
CE,2016,5,20,1234,115
CF,2015,8,8,1,
CF,2016,6,29,10,
CH,2015,7,14,10455,157
CH,2016,12,21,9694,397
CH,2017,1,23,10080,405
CH,2017,6,17,3298,98
CI,2016,8,31,8,3
CI,2017,3,14,6,
CI,2017,7,18,55,2
CI,2017,9,4,20,
CJ,2015,9,1,174,17
CJ,2016,5,16,7,
CJ,2016,8,25,113,18
CJ,2016,9,20,96,
CM,2015,10,11,74,
