MJ,7,2016,15,71
EK,10,2016,17,132
PO,2,2016,25,641
BM,2,2016,24,268
PS,2,2016,10,3
OC,6,2017,29,3
ML,7,2016,21,959
UG,7,2015,21,313
IR,8,2016,21,3159
QA,6,2016,23,452
TX,7,2016,25,171
CT,2,2017,9,42
EI,10,2016,17,1302
CE,3,2015,26,856
BR,8,2016,6,634
CO,4,2016,17,5197
MO,7,2016,28,303
KS,4,2017,8,2185
IS,8,2017,30,5995
JM,12,2015,9,204
VE,8,2017,29,874
LE,10,2015,4,1567
GQ,6,2015,10,34
SF,11,2015,3,3179
QA,6,2016,6,1613
AJ,5,2015,5,295
EG,9,2016,1,2029
SP,1,2016,9,671
MU,4,2016,11,110
NL,2,2015,22,739
JO,3,2017,10,621
AG,1,2016,16,894
SG,11,2016,10,158
LH,2,2015,24,161
GA,7,2015,23,627
SL,2,2015,27,327
IR,10,2015,17,2957
LE,1,2016,27,544
IC,8,2016,18,36
LE,6,2016,29,1383
HK,3,2017,11,97
UG,6,2016,10,505
SL,4,2015,15,821
EI,3,2015,28,787
NL,3,2015,26,2193
ID,2,2017,15,2034
LS,11,2015,13,3
CU,11,2017,10,888
CB,2,2016,15,2697
KS,7,2015,10,977
UG,1,2016,11,770
EC,10,2017,25,38
ER,6,2017,17,76
EG,2,2016,2,1104
IZ,7,2017,19,2425
CI,11,2017,14,1224
BP,11,2016,19,844
RO,8,2017,15,253
SZ,11,2015,15,251
AC,11,2016,26,111
FI,10,2017,10,239
MN,5,2015,25,18
TO,3,2016,3,19
UG,5,2015,3,251
AM,2,2016,19,289
HU,6,2017,13,256
CE,12,2016,5,293
ZI,11,2015,2,535
SE,11,2017,10,55
GT,10,2016,13,227
PL,5,2016,8,463
CO,2,2017,20,1528
KN,8,2015,4,2539
BA,5,2017,9,135
CY,12,2016,20,82
AE,9,2016,3,630
RW,1,2016,7,528
UG,1,2016,18,767
UG,5,2017,16,480
CG,7,2017,20,169
GH,4,2017,8,691
GR,2,2017,1,1812
JO,4,2015,5,759
MU,10,2017,11,168
AG,7,2017,20,74
WE,4,2017,28,1117
WE,11,2017,10,2106
ET,1,2016,28,1132
RQ,1,2016,25,228
BR,7,2017,24,1699
AE,6,2016,12,994
LE,5,2016,18,1621
SG,11,2015,21,361
BR,1,2016,16,9529
SO,5,2015,23,1837
HA,10,2017,7,183
CO,1,2017,17,406
BL,8,2015,22,43
WE,8,2015,4,587
TX,1,2016,31,103
HO,2,2017,5,61
GQ,5,2015,13,104
PM,4,2015,24,494
BU,12,2015,4,223
BO,5,2016,6,373
QA,4,2017,17,571
IC,4,2015,21,90
HK,2,2016,4,193
SW,4,2015,24,608
KE,12,2015,28,1158
SZ,8,2015,30,660
BY,3,2017,23,92
BM,10,2016,10,615
GI,6,2016,16,1469
CF,3,2016,22,655
BG,5,2015,7,554
IV,1,2016,7,40
AG,10,2016,3,373
EK,1,2016,23,152
FI,8,2017,31,216
AY,3,2015,9,52
GH,6,2015,26,562
OS,8,2017,10,73
CT,9,2016,2,518
