Count,Actor
9006,rohingya muslim
9005,kemi adeosun
9003,sergio moro
8999,john dramani mahama
8971,pete ricketts
8970,matt canavan
8969,cara anna
8968,roy moore
8950,lucia mutikani
8941,scott kelly
8927,chris smith
8913,keith urban
8910,michael davidson
8907,nimr al-nimr
8898,rick knabb
8886,jerome powell
8883,zeina karam
8882,natalie portman
8875,hilary clinton
8874,mark ghilarducci
8872,james holmes
8869,ann coulter
8868,idris elba
8860,dennis kelly
8857,dennis daugaard
8855,wolfgang schaeuble
8838,jacqui lambie
8825,javad zarif
8820,hargreaves lansdown
8790,john allen
8789,rebecca santana
8782,paul krugman
8774,roger ailes
8767,raheel sharif
8766,martin mcguinness
8743,robert w baird
8742,willie nelson
8741,peter hannam
8730,sam smith
8715,francois fillon
8713,karl stefanovic
8712,jo-ellen darcy
8711,lester holt
8710,john mahama
8710,peter szijjarto
8703,valerie castile
8684,kim coghill
8676,milo yiannopoulos
8668,jason neely
8663,nick clegg
8647,joni ernst
8646,sergio mattarella
8644,antonin scalia
8644,bohuslav sobotka
8629,elena kagan
8626,louis armstrong
8625,caitlyn jenner
8610,johns hopkins
8609,dan patrick
8607,carmen yulin cruz
8604,john mccravy
8603,pharrell williams
8600,paul simon
8594,sonia sotomayor
8594,patrick morrisey
8593,john grunsfeld
8586,ian macfarlane
8568,louis uccellini
8562,steve daines
8558,oyu tolgoi
8538,naomi klein
8536,sean penn
8532,ferdinand marcos
8532,karl marx
8523,edgar lungu
8519,leopoldo lopez
8502,greg hunt
8492,russell begaye
8490,tanya agrawal
8488,bernadette baum
8487,xavier becerra
8474,quentin tarantino
8470,pablo picasso
8469,stevie wonder
8469,anthony weiner
8465,david j phillip
8462,michael bennet
8461,carlos gimenez
8450,camila domonoske
8449,alan fram
8429,thomas homan
8425,malala yousafzai
8409,frank rogers
8408,martha waggoner
8399,jason meyers
8386,el paso
8378,tim scott
8361,adani carmichael
8359,terrance harris
8343,bill cassidy
8342,mohamed morsi
8341,shawna cox
8341,david leyonhjelm
8329,adam smith
8329,angus king
8329,aleksandar vucic
8325,kate middleton
8324,dan sullivan
8323,eric schultz
8313,joe donnelly
8311,chris wallace
8304,nick xenophon
8303,david brown
8301,william shakespeare
8301,jeffrey collins
8297,noah ark
8293,nick macfie
8286,glen sarangapany
8285,chi minh
8282,julie bykowicz
8278,paul j weber
8274,pedro pablo kuczynski
8264,henry ford
8252,lisa lerer
8239,andrea leadsom
8235,rob bishop
8227,matt smith
8224,ralph lauren
8222,brian williams
8222,downton abbey
8217,danica coto
8215,bob marley
8178,ed gonzalez
8176,luke foley
8172,gina raimondo
8165,george jahn
8165,ricky gervais
8160,helen clark
8156,greg carbin
8153,yashaswini swamynathan
8149,alex brandon
8141,patricia holloway
8134,samuel dubose
8133,robby mook
8130,zeid raad al-hussein
8128,curtis smith
8125,jovenel moise
8123,zealand herald
8113,greg clark
8105,goldman sachs
8104,ann zendner
8102,gary pritchard
8102,otto warmbier
8098,ed lee
8095,nick smith
8092,ian macdonald
8089,paul elias
8086,christopher bodeen
8086,horne gladstone
8083,nickolay mladenov
8083,reese witherspoon
8075,barry goldwater
8070,jae c hong
8067,lamar smith
8066,bashar al-jaafari
8065,sani usman
8059,dan grebler
8059,sylvie corbet
8058,shri navaratnam
8044,david vitter
8040,edmund hillary
8039,emma watson
8026,matthew brown
8020,omar al-bashir
8003,christopher columbus
8001,lincoln chafee
7995,tom brown
7994,brian deese
7987,sartaj aziz
7987,loretta lynn
7986,brian fallon
7985,meredith mazzilli
7980,robert birsel
7969,mark lennihan
7966,thomas edison
7957,sanford c bernstein
7944,chris stapleton
7941,heather heyer
7935,gareth jones
7935,tom perez
7933,garba shehu
7932,jamie dimon
7915,cory bernardi
7910,godwin emefiele
7908,berkeley energia
7904,diana heidgerd
7903,lou gehrig
7898,kirsten gillibrand
7894,jingyi pan
7882,scott smith
7877,dennis lockhart
7875,yahya jammeh
7858,ron howard
7854,paul keating
7854,moamer kadhafi
7846,tanya plibersek
7841,mohammed barkindo
7839,chelsea manning
